,Date created,Tweet_ID,Tweet_text,clean_tweet
811,23-07-2020 12:18,1.29E+18,@ProjectLincoln we have to realize he dum he dum he likes hearing himself talk he a bully he sends other people's t… https://t.co/3RdNdj87lp,we have to realize he dum he dum he likes hearing himself talk he a bully he sends other people's t… https://t.co/3RdNdj87lp
812,23-07-2020 11:13,1.29E+18,@BradStoney1776 Boys and Girls don't be playing with Gas you can make a big BOOM 💣 what a dum Ass!!!,Boys and Girls don't be playing with Gas you can make a big BOOM 💣 what a dum Ass!!!
813,23-07-2020 09:31,1.29E+18,"@realelliotroger ""MUP DA DOO DIDDA PO MO GUB BIDDA BE DAT TUM MUHFUGEN BIX NOOD COF BIN DUB HO MUHFUGGA? AY GURL BI… https://t.co/70WosBZzFs","""MUP DA DOO DIDDA PO MO GUB BIDDA BE DAT TUM MUHFUGEN BIX NOOD COF BIN DUB HO MUHFUGGA? AY GURL BI… https://t.co/70WosBZzFs"
814,23-07-2020 09:20,1.29E+18,@nypost Dum ass,Dum ass
815,23-07-2020 09:19,1.29E+18,Now I already knew that @KEEMSTAR  was a Peace of unflushed shit all the shit he has done and stuff now wht I didnt… https://t.co/jNLEcEU2fs,Now I already knew that was a Peace of unflushed shit all the shit he has done and stuff now wht I didnt… https://t.co/jNLEcEU2fs
816,23-07-2020 08:36,1.29E+18,@seongogh So.....my dum ass has been crying to a fucking sex song ??😭😭😭😭😭🤦🏾‍♀️,So.....my dum ass has been crying to a fucking sex song ??😭😭😭😭😭🤦🏾‍♀️
817,23-07-2020 08:16,1.29E+18,@tariqnasheed Everybody on this thread is a bunch of scary ass old niggas dum ass youngbuls yall niggas really dont… https://t.co/KSQ4Urvc7g,Everybody on this thread is a bunch of scary ass old niggas dum ass youngbuls yall niggas really dont… https://t.co/KSQ4Urvc7g
818,23-07-2020 07:37,1.29E+18,What dum ass voters elect these democrat socialist idiots into office. even more of a dum ass voter,What dum ass voters elect these democrat socialist idiots into office. even more of a dum ass voter
819,23-07-2020 07:32,1.29E+18,@KiIIian__ @DomFlournoyNBA @ericstevens04 @playmychallenge @AnotherNBAFan Boy shut yo stat readin ass up. Anyone wi… https://t.co/4pykkL8ufU,Boy shut yo stat readin ass up. Anyone wi… https://t.co/4pykkL8ufU
820,23-07-2020 06:50,1.29E+18,@AP_Scoop @realDonaldTrump Dum ass killer,Dum ass killer
821,23-07-2020 05:56,1.29E+18,@JermBathinWApes My dum ass was gone fuck it up an say some like snoop https://t.co/WwccrwSlF1,My dum ass was gone fuck it up an say some like snoop https://t.co/WwccrwSlF1
822,23-07-2020 05:45,1.29E+18,@uncomftrble @bigmilkcartons DO NOT GOOGLE ASS WORSHIPPER DONT DO IT,DO NOT GOOGLE ASS WORSHIPPER DONT DO IT
823,23-07-2020 05:34,1.29E+18,Her dum ass https://t.co/ViSW5oVyEn,Her dum ass https://t.co/ViSW5oVyEn
